iter	Passed	Remaining
0	2	217
1	4	211
2	6	199
3	7	181
4	9	176
5	10	169
6	12	166
7	14	162
8	15	160
9	17	155
10	18	150
11	19	146
12	21	141
13	22	137
14	23	133
15	24	129
16	25	125
17	26	122
18	28	119
19	29	116
20	30	114
21	31	110
22	32	108
23	33	106
24	34	104
25	35	101
26	36	99
27	38	98
28	39	96
29	40	94
30	41	92
31	43	91
32	44	90
33	45	88
34	46	85
35	47	83
36	47	81
37	48	79
38	49	77
39	50	75
40	50	73
41	51	70
42	52	69
43	52	67
44	53	65
45	54	64
46	55	62
47	56	60
48	56	59
49	57	57
50	58	56
51	59	54
52	60	53
53	60	51
54	61	50
55	62	48
56	62	47
57	64	46
58	65	45
59	66	44
60	66	42
61	67	41
62	68	40
63	69	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	76	27
74	77	25
75	78	24
76	79	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
